firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
Chimerix Inc,20130410,CMRX,16934W106,13870,25508085,0,2000,0
China Petroleum & Chem Corp,20001012,SNP,16941R108,88660,839024392,0,2000,0
Chipcom,19910503,CHPM,169617107,76654,6939639,0,1983,0
Chipotle Mexican Grill Inc,20060125,CMG,169656105,91068,32494619,1,1993,0
ChipPAC Inc,20000808,CHPC,169657103,88508,19820000,0,1984,0
Chips and Technologies,19861008,CHPS,170021109,10738,12406204,0,1984,0
ChipSoft,19920403,CSFT,170027106,77499,14188754,1,1984,0
CHIRON CORP.,19830802,CHIR,17004010,23318,6781000,0,1981,0
Cholestech,19920626,CTEC,170393102,77701,6149799,0,1988,0
Chordiant Software Inc,20000215,CHRD,170404107,87649,34818000,0,1991,0
"CHRISTENSEN, INC.",19750924,,17056510,23342,4801092,0,1944,.
Chromatics Color Sciences,19930205,CCSI,171116106,78872,2754904,0,1984,0
ChromaVision Medical Systems,19970701,CVSN,17111P104,85175,7951250,0,1996,0
Chronimed,19920320,CHMD,171164106,77427,5491200,0,1985,0
CIBER,19940317,CIBR,17163B102,80316,5350000,0,1974,0
Cidara Therapeutics Inc,20150415,CDTX,171757107,15286,13494118,0,2012,0
Cidco,19940303,CDCO,171768104,80313,12350000,0,1988,0
CIENA Corp,19970207,CIEN,171779101,84519,18191584,0,1992,0
CIMA Labs,19940728,CIMA,171796105,80740,7374306,0,1986,0
CIMCO,19860513,CIMC,171842107,10248,2100000,0,1959,0
Cinema Ride,19940927,MOVE,1.72E+106,80940,4325000,0,1993,0
CINTAS CORPORATION,19830818,CTAS,17290810,23660,6521000,0,1968,0
CIPHER DATA PRODUCTS,19811006,CIFR,17252810,23529,3948000,0,1968,0
Ciphergen Biosystems Inc,20000928,CIPH,17252Y104,88620,25600000,0,1993,0
CIPRICO INC.,19830701,CPCI,17252910,23537,1714000,0,1978,0
Circadian,19850606,CKDN,17253100,86634,4154862,0,1979,0
Circle K,19950322,CRK,172585101,81296,24224059,0,1951,0
CIRCON CORPORATION,19830707,CCON,17273610,23588,4757000,0,1957,0
Cirrus Logic,19890608,CRUS,172755100,75603,14238189,0,1984,0
Cisco Systems,19900216,CSCO,17275R102,76076,12547227,0,1984,0
Cistron Biotechnology,19860821,CIST,172849200,10601,15409604,0,1984,0
Citation,19940802,CAST,172895104,80802,12680000,0,1975,0
CITISOURCE INC.,19840910,CTSC,17291510,86669,1760000,0,1983,0
Citizens Corp,19930319,CZC,174533109,79035,37343500,0,1993,0
Citizens Financial Group Inc,20140924,CFG,174610105,14889,559998324,0,1900,0
Citrix Systems,19951208,CTXS,177376100,82686,11493250,0,1989,0
Clairson International,19861118,CLIC,179604103,10861,4819270,0,1965,0
Clarent Corp,19990701,CLRN,180461105,87102,26302944,0,1996,0
Clarify,19951103,CLFY,180492100,82562,9257340,0,1990,0
CLASSIC CORPORATION,19831012,WBED,18272910,23991,1908000,0,1971,0
Clean Energy Fuels Corp,20070525,CLNE,184499101,92035,44193411,0,1997,0
Clean Harbors,19871124,CLHB,184496107,11809,6638994,0,1980,0
Clearside Biomedical Inc,20160602,CLSD,185063104,16090,19592708,0,2011,0
Clearsign Combustion Corp,20120424,CLIR,185064102,13369,8157716,0,2008,0
Clearwire Corp,20070307,CLWR,185385309,91892,161921921,1,2003,0
Cleveland Biolabs Inc,20060720,CBLI,185860103,91395,11814349,0,2003,0
Clevite Industries,19860627,CLEV,186798104,10424,6527176,0,1981,0
Click Commerce Inc,20000626,CKCM,18681D109,88329,37281000,0,1996,0
Clicksoftware Ltd,20000622,CKSW,M25082104,88330,24980000,0,1979,0
CLINICAL DATA,19830427,CLDA,18725910,24097,2921000,0,1974,0
Clinical Technologies Assoc,19890209,CTAI,187267109,75696,2917530,0,1985,0
CliniCom,19920420,CLIN,18726L108,77524,3357833,0,1986,0
Clovis Oncology Inc,20111116,CLVS,189464100,13107,21663604,0,2009,0
Club Car,19931018,CLBC,18947B103,79681,8418106,0,1978,0
CMP Media Inc,19970724,CMPX,125891101,85171,22624570,1,1971,0
CNOOC Ltd,20010222,CEO,12613210,88888,40000000,0,1982,0
CNS,19870610,CNXS,126136100,11411,2150102,0,1985,0
Coach Inc,20001004,COH,189754104,88661,50893000,0,1941,0
Coachman,19870813,CINC,189869209,11611,3812500,0,1985,0
Cobra Golf,19930921,CBRA,190907105,79572,8906522,0,1978,0
Coca-Cola Enterprises,19861121,CCE,191219104,70500,150710000,0,1944,0
CoCensys,19930129,COCN,191263102,78817,8961216,0,1989,0
Coda Music Technologies,19950629,COMT,19188910,81691,4118288,0,1990,0
Code-Alarm,19871009,CODL,191893106,11773,2050640,0,1979,0
Codexis Inc,20100422,CDXS,19200510,93345,33977068,0,2002,0
Cogent Inc,20040923,COGT,19239Y108,90356,80700000,0,1990,0
Cognex,19890720,CGNX,192422103,75654,3876868,0,1981,0
Cognitive Systems,19860516,CSAI,192428100,10262,2542712,0,1979,0
Cognizant Technology Solutions,19980619,CTSH,192446102,86158,9000000,1,1994,0
Coherent Communications,19940616,CCSC,19247810,80613,0,0,1968,0
Coherus Biosciences Inc,20141106,CHRS,19249H103,15059,32051949,0,2010,0
Coin Bill Validator,19950207,CBVI,192583102,81242,2750000,0,1988,0
Coinstar Inc,19970702,CSTR,19259P300,85173,3984012,0,1991,0
Cold Metal Products,19940322,CLQ,192861102,80382,6961750,0,1980,0
Cole National,19940411,CNJ,193290103,80416,10380344,1,1949,0
Coleman,19920226,CLN,193559101,77368,27000000,0,1910,0
Coley Pharmaceutical Group Inc,20050809,COLY,19388P106,90860,24800441,0,1997,0
COLLABORATIVE,19820211,CRIC,19419210,24548,8012000,0,1961,0
COLLAGEN,19811023,CGEN,19419410,24556,4767000,0,1975,0
CollaGenex,19960620,CGPI,19419B100,83638,7513148,0,1992,0
Collateral Therapeutics Inc,19980702,CLTX,193921103,86254,8171647,0,1995,0
Collectors Universe Inc,19991104,CLCT,19421R10,87379,24425000,0,1986,0
Collegium Pharmaceutical Inc,20150507,COLL,19459J104,15371,19707935,0,2002,0
Collins & Aikman,19940706,CKC,194830105,80713,70520900,0,1843,0
COLLINS INDUSTRIES,19830412,COLL,19485810,24572,3050000,0,1971,0
COLONIAL X-RAY CORP.,19830512,XRAY,19613020,24695,1310000,0,1980,0
Color Kinetics Inc,20040622,CLRK,19624P100,90222,17880306,0,1997,0
Colorocs,19860409,CLRX,196807200,10190,7693907,0,1982,0
Coltec Industries,19920325,COT,196879100,77473,63500000,0,1911,0
CoLucid Pharmaceuticals Inc,20150506,CLCD,19716T101,15370,15138989,0,2005,0
Columbia Laboratories,19880728,COLB,197779101,12149,4350000,0,1986,0
Columbia Sportswear Co,19980326,COLM,198516106,85863,24392176,0,1938,0
Columbus McKinnon Corp,19960222,CMCO,199333105,83120,10355030,0,1875,0
COM21 Inc,19980521,CMTO,205937105,86060,17764512,0,1992,0
COMAIR,19810716,COMR,19978910,24935,1560000,0,1977,0
CombiChem,19980508,CCHM,20009P103,86057,13231938,0,1994,0
Combinatorx Inc,20051109,CRXX,20010A103,90968,22320875,0,2000,0
Commerce One Inc,19990701,CMRC,200693109,87103,22085997,0,1994,0
Commercial Vehicle Group Inc,20040804,CVGI,202608105,90314,16988751,0,1997,0
Commonwealth Aluminum,19950310,CALC,202904108,81475,10200000,0,1914,0
CommTouch Software Inc,19990713,CTCHC,M25596103,87061,14192215,0,1991,0
Communication Cable,19860331,CABL,203378104,10136,900010,0,1984,0
COMMUNICATIONS SYSTEMS,19811118,CSII,20390010,25452,1936000,0,1969,0
CommVault Systems Inc,20060921,CVLT,204166102,91463,41651028,0,1988,0
COMPAQ COMPUTER,19831209,CMPQ,20449310,68347,25371000,0,1982,0
Complete Genomics Inc,20101111,GNOM,20454K10,12398,25809078,0,2005,0
COMPONENT TECHNOLOGY,19831215,CTEC,20453810,25567,1519000,0,1917,0
COMPRESSION LABS,19840412,CLIX,20467210,25604,6419000,0,1976,0
CompuCredit Corp,19990422,CCRT,20478N100,86819,39301392,0,1996,0
Compugen Ltd,20000811,CGEN,M25722105,88507,25200000,0,1993,0
CompuServe,19960418,CSRV,20482G109,83367,72153326,0,1969,0
Computational Systems,19950828,CSIN,204828107,82167,4381755,0,1984,0
Computer Access Technology,20001110,CATZ,204853105,88793,18400000,0,1992,0
COMPUTER ASSOCIATES,19811209,CASI,20491210,25778,2888000,0,1974,0
COMPUTER ENTRY,19810415,CESC,20509010,25882,3243000,0,1969,0
COMPUTER IDENTICS,19831214,CIDN,20591810,26295,3293000,0,1968,0
COMPUTER MEMORIES,19820107,CMIN,20491310,25786,4627000,0,1979,0
Computer Motion Inc,19970811,RBOT,205253107,85315,7114000,0,1989,0
Computer Power,19860702,CPWR,205272206,75506,1500000,0,1966,0
Computervision,19920814,CVN,20557T101,77859,48000000,0,1972,0
CompuWare,19921215,CPWR,205638109,78139,35016838,0,1973,0
CompX International Inc,19980306,CIX,20563P101,85903,10564880,1,1993,0
Comscore Inc,20070626,SCOR,20564W105,92102,27385274,0,1999,0
Comtrex Systems,19850701,COMX,20592000,86941,1975650,0,1981,0
Comverge Inc,20070412,COMV,205859101,91957,17517723,0,1997,0
CONCEPT DEVELOPMENT,19831214,CDII,20591910,26308,3622000,0,1981,0
Conceptronic,19911204,CNCP,206010100,77210,1700000,0,1987,0
Conceptus,19960201,CPTS,206016107,83123,8610792,0,1992,0
CONCORD CAMERA,19880712,LENS,206156101,11998,4000400,0,1982,0
Concord Communications Inc,19971015,CCRD,206186108,85458,11505816,0,1980,0
CONCORD COMPUTING,19840621,CEFT,20618910,26332,1388000,0,1970,0
Concur Technologies Inc,19981216,CNQR,206708109,86525,16472000,0,1993,0
Concurrent Computer,19860124,CCUR,206709107,10017,11268000,0,1966,0
Conductus,19930805,CDTS,206784100,79478,5272122,0,1987,0
Cone Mills,19920618,COE,206814105,77688,24060512,0,1900,0
ConforMIS Inc,20150701,CFMS,2.07E+105,15496,39086637,0,2004,0
Congoleum,19950201,CGM,207195108,81288,10000000,1,1886,0
CONMED,19870723,CNMD,207410101,11547,2700000,0,1970,0
CONNECT,19960814,CNKT,207528100,83852,20565553,0,1987,0
Connective Therapeutics,19960131,CNCT,207854100,83121,3408316,0,1993,0
Conner Peripherals,19880412,CNNR,208108100,10967,33326728,0,1985,0
Conor Medsystems Inc,20041214,CONR,208264101,90477,31688068,0,1999,0
Conrad Industries,19980610,CNRD,208305102,86156,7200000,0,1948,0
Consep,19940208,CSEP,208469106,80231,6173626,0,1984,0
Consilium,19890509,CSIM,208547109,75614,5738114,0,1978,0
Consolidated Graphics,19940609,COGI,209341106,80621,5277900,0,1985,0
Consolidated Rail,19870326,CRR,209864107,71765,69117636,0,1973,0
Constant Contact Inc,20071002,CTCT,210313102,92302,27085362,0,1995,0
Constar International,20021114,CNST,21036U10,89566,12015000,0,1927,0
Contel Cellular,19880421,CCXLA,210904108,11004,50000000,1,1980,0
CONTINENTAL AIRLINES,19830411,CAI,21079830,64928,20000000,0,1982,0
Continental Building Products,20140205,CBPX,211171103,14478,44069000,0,1977,0
Continental Circuits,19950315,CCIR,211213103,81477,7120025,0,1972,0
ContraFect Corp,20140729,CFRXU,212326102,14927,19300085,1,2008,0
Control Devices,19961002,SNSR,21238C103,84127,4653000,0,1960,0
Control4 Corp,20130801,CTRL,21240D107,14095,22694267,0,2003,0
Convergent Communications Inc,19990719,CONV,211914403,87104,23365283,0,1995,0
CONVERGENT TECH,19820518,CVGT,21247910,27036,19660000,0,1979,0
Conversion Technologies,19960516,CTIX,212546105,83493,8058329,0,1994,0
Convex Computer,19861017,CNVX,212578108,10765,16360310,0,1982,0
"COOPERVISION, INC.",19830121,EYES,21689510,65541,18300000,0,1972,0
Copart,19940316,CPRT,217204106,80320,8410990,0,1936,0
Copley Pharmaceutical,19921014,CPLY,21745K101,77985,15673604,0,1972,0
"COPYTELE, INC.",19831006,COPY,21772110,27167,2800000,0,1982,0
COR Therapeutics,19910627,CORR,217753102,76716,9029484,0,1988,0
Corcept Therapeutics Inc,20040414,CORT,218352102,90125,22642128,0,1998,0
CORCOM,19800520,CORC,21835610,27239,1368000,0,1955,0
Core Laboratories,19950920,CLB,N22717107,82656,3466680,0,1936,0
Corel,19921020,CORL,21868Q109,78780,13340061,0,1985,0
Corel Corp,20060425,CREL,21869X103,91173,24492427,0,1985,0
Corgentech Inc,20040212,CGTK,21872P105,90025,27013294,0,1999,0
Corio Inc,20000720,CRIO,218875102,88431,13051000,0,1998,0
Corium International Inc,20140403,CORI,21887L107,14594,17617428,0,1995,0
Corixa Corp,19971001,CRXA,21887F100,85463,10994011,0,1994,0
Corken International,19870313,CORK,218880102,11175,3000000,0,1945,0
CorMedix Inc,20100324,CRMD,21900C10,93371,11414627,1,2006,0
Corporate Express,19940923,CEXP,219888104,80925,25738000,0,1985,1
Corrpro Companies,19930929,CO,220317101,79670,3432278,0,1984,0
Corsair Communications Inc,19970729,CAIR,220406102,85166,13261992,0,1994,0
Cortech,19921124,CRTQ,22051J100,78846,13704362,0,1991,0
Cortex Pharmaceuticals,19890718,CORX,220524201,75962,13393505,0,1987,0
Cortronic,19861112,CTRN,220799209,10848,6769771,0,1980,0
Corvas International,19920130,CVAS,221005101,77294,9158816,0,1987,0
Corvis Corp,20000727,CORV,221009103,88430,332600000,0,1997,0
Corvita,19941024,CVTA,221010101,80968,6865965,0,1986,0
CORVUS SYSTEMS,19811002,CRVS,22101610,27370,7549000,0,1979,0
Cosine Communications Inc,20000925,COSN,221222102,88622,100100000,0,1998,0
COSMO COMMUNICATIONS,19830520,CSMO,22129510,27407,4950000,0,1975,0
Costco Wholesale,19851127,COST,22160700,87055,20858646,0,1983,0
Coty Inc,20130612,COTY,222070203,13983,382830520,1,1904,0
Coupa Software Inc,20161006,COUP,22266L106,16382,47410957,0,2006,0
Coupons.com Inc,20140306,COUP,22265J102,14504,74744807,0,1998,0
Covad Communications Group Inc,19990121,COVD,222814204,86569,45999336,0,1996,0
Coventry,19910416,CVTY,222853103,76619,8103328,0,1986,0
Covisint,20130926,COVS,22357R103,14150,36403000,0,2008,0
Coyote Sports Inc,19970918,COYT,224071100,85365,4500000,0,1913,0
CPI Card Group Inc,20151009,PMTS,12634H101,15793,56476116,0,1982,.
CPI CORP,19820729,CPIC,12590210,20248,3725000,0,1979,0
CRAFT HOUSE CORP.,19831026,CRFH,22412710,27597,1303000,0,1973,0
Craftmade International,19900417,CRFT,2.24E+108,76336,2862500,0,1985,0
CRAY RESEARCH,19760317,CYR,22522410,62164,1307006,0,1972,.
Creative BioMolecules,19921217,CBMI,225270107,78134,14219017,0,1982,0
Creative Technology,19920803,CREAF,Y1775U107,78775,39640000,0,1983,0
Credence Systems,19931028,CMOS,225302108,79683,10407994,0,1978,0
Credit Acceptance,19920605,CACC,225310101,77660,6562500,0,1972,0
Cree Research,19930208,CREE,225447101,78875,4920511,0,1987,0
Creo Products Inc,19990728,CREO,22560610,87060,32027854,0,1992,0
Crest Industries,19900629,CRII,226073104,76211,3700000,0,1985,0
Criteo SA,20131030,CRTO,226718104,14240,55298218,0,2005,0
Critical Industries,19871014,FYBR,22674J107,11782,6000000,0,1984,0
Critical Path Inc,19990329,CPTH,22674V100,86768,34115000,0,1997,0
Critical Therapeutics Inc,20040526,CRTX,22674T105,90183,23906944,0,2000,0
Criticare Systems,19870522,CXIM,226901106,75545,5731581,0,1984,0
Crocs Inc,20060207,CROX,227046109,91090,38272247,0,1999,0
Cronos,19951207,CRNSF,L2070810,82683,8615378,0,1978,0
Crop Genetics International,19870326,CROP,227295102,11212,4662039,0,1981,0
Cross Country Inc,20011025,CCRN,22748P10,89167,31017500,0,1991,0
Cross Timbers Oil,19930511,XTO,227573102,79212,15923879,0,1990,0
CrossKeys Systems Corp,19971216,CKEY,227911104,85683,17745000,0,1992,0
Crossroads Systems Inc,19991019,CRDS,22765D100,87310,25632926,0,1996,0
CrossWorlds Software Inc,20000601,CWLD,22769P109,88333,13051000,0,1996,0
Crown Brands,19870210,CRON,228214102,11094,3000000,0,1986,0
Crown Castle International,19980818,CCI,228227104,86339,120193585,0,1994,1
CryoCor Inc,20050713,CRYO,229016100,90804,10598319,0,2000,0
Cryolife,19930211,CRYL,228903100,78876,4867246,0,1984,0
Cryomedical Sciences,19891122,CMSI,229049101,76038,12630000,0,1987,0
Crystallume,19940323,CRYS,22942D10,80321,2814010,0,1984,0
CSP INC,19820129,CSPI,12638910,20336,1618000,0,1968,0
CTI Industries Corp,19971105,CTIB,125961102,85540,3609103,0,1975,0
CTI Molecular Imaging Inc,20020620,CTMI,22943D10,89414,41914000,0,1983,0
Cubist Pharmaceuticals,19961025,CBST,229678107,84060,9137427,0,1992,0
CULP INC.,19830830,CULP,23021510,27909,4236000,0,1972,0
Cumberland Pharmaceuticals Inc,20090810,CPIX,230770109,93004,17091191,0,1999,0
CuraGen Corp,19980318,CRGN,23126R101,85864,11580112,0,1991,0
Curative Technologies,19910628,CURE,231264102,76720,9189309,0,1984,0
Curon Medical Inc,20000921,CURN,231292103,88623,18661000,0,1997,0
Curtis International,19981112,CURTF,231461104,34937,2996000,0,1990,0
Custom Chrome Inc,19911105,CSTM,231905100,77096,5000000,0,1970,0
CUSTOM CREAMERY,19830513,CCSI,23202420,27992,3081000,0,1983,0
Cutera Inc,20040330,CUTR,232109108,90081,10617914,0,1998,0
Cutter & Buck,19950814,CBUK,232217109,82160,3460840,0,1990,0
CV Therapeutics,19961119,CVTX,126667104,85668,6080612,0,1990,0
CVC Inc,19991112,CVCI,126945104,87382,10992707,0,1934,0
CVD Equipment,19850904,CVDE,12660100,86290,1450000,0,1982,0
Cyan Inc,20130508,CYNI,23247W104,13891,45430340,0,2006,0
CyberArk Software Ltd,20140924,CYBR,M2682V108,14928,29580336,0,1999,0
CyberCash,19960215,CYCH,232462101,83128,10269576,0,1994,0
Cybergold Inc,19990922,CGLD,23246N105,87225,19368590,0,1994,0
Cyberonics,19930210,CYBX,23251P102,78881,8908044,0,1987,0
CyberOptics,19871216,CYBE,232517102,11825,2290500,0,1984,0
CyberSource Inc,19990623,CYBS,23251J106,86958,21549000,0,1994,0
Cybex,19950727,CBXC,232522102,81854,5245258,0,1947,0
Cygnus Therapeutic Systems,19910131,CYGN,232564104,76910,10611387,0,1985,0
Cylink,19960216,CYLK,232565101,83129,24084778,0,1983,0
Cymer,19960918,CYMI,232572107,83928,11852378,0,1986,0
Cynosure,20051208,CYNO,23257720,91020,10242877,1,1991,0
Cypress Semiconductor,19860529,CYPR,232806109,10302,30677597,0,1982,0
Cypros Pharmaceutical,19921104,CYPR,232808105,78051,2000000,0,1990,0
Cyrix,19930716,CYRX,232815100,79377,19010405,0,1988,0
Cytel Corp,19911122,CYTL,2.33E+104,77097,12237855,0,1987,0
Cytoclonal Pharmaceutics,19951102,CYPH,23282G204,82567,7263500,0,1991,0
Cytogen,19860618,CYTO,232824102,10383,11896168,0,1980,0
Cytokinetics Inc,20040429,CYTK,23282W100,90126,27880343,0,1997,0
CytomX Therapeutics Inc,20151008,CTMX,23284F105,15779,34920593,0,2010,0
CytoTherapeutics,19920325,CTII,232923102,77437,7630227,0,1988,0
CytRx,19861110,CYTR,232828103,10838,16769316,0,1985,0
Cytyc,19960308,CYTC,232946103,83251,13089005,0,1987,0
Dailey Petroleum Services,19960814,DALY,23380G106,83857,8760629,0,1996,0
DAISY SYSTEMS,19830601,DAZY,23405010,28346,14269000,0,1980,0
Daktronics,19940210,DAKT,234264109,80233,4007140,0,1968,0
DALE ELECTRONICS,19811029,DALE,23428210,63538,1450000,0,1951,0
Daleen Technologies Inc,19991001,DALN,23437N104,87313,18376000,0,1990,0
Dames & Moore,19920305,DMOR,235713104,77388,22500000,0,1938,0
"DAMON BIOTECH, INC.",19830603,DBIO,23571510,28434,19164000,0,1973,0
Dan River Inc,19971120,DRF,235774106,85603,18855164,1,1882,0
Danek Group,19910516,DNKG,236136107,76660,8227085,0,1983,0
Data Critical Corp,19991109,DCCA,237622105,87383,9833619,0,1992,0
Data Documents,19951003,DDII,237669106,82481,8303409,0,1988,0
Data Domain Inc,20070626,DDUP,23767P109,92092,51772816,0,2001,0
DATA I/O,19810505,DAIO,23769010,28629,4059000,0,1969,0
DATA MEASUREMENT,19810915,DMCB,23790310,10969,350000,0,1962,.
Data Race,19921007,RACE,237842109,77979,3869401,0,1983,0
Data Return Corp,19991027,DRTN,22785M10,87315,34460504,0,1997,0
Data Technology,19870521,DTCI,237892104,11352,10320678,0,1960,0
DATA TERMINAL,19760713,DTS,23801010,59862,1548216,0,1970,.
Data Translation,19850213,DATX,23801500,87207,2090159,0,1973,0
DATACOPY CORP.,19831006,DCPY,23802910,28760,2318000,0,1973,0
"DATAKEY, INC.",19831028,DKEY,23790910,28725,2977000,0,1976,0
Datalink Corp,19990806,DTLK,237934104,87160,8670947,0,1958,0
DATAPOWER,19811021,DPWR,23810210,28813,1550000,0,1969,0
DATASOUTH COMPUTER,19830825,DSCC,23812010,28848,6011000,0,1977,0
DataVend,19880608,DATV,23815K201,11071,3349795,0,1985,0
Dataware Technologies,19930720,DWTI,237920103,79379,5443999,0,1988,0
Datawatch,19920528,DWCH,237917109,77630,5164247,0,1985,0
Datron Systems,19850326,DTSI,23817310,12005,2455475,0,1969,0
DAVIDsTea Inc,20150605,DTEA,23866110,15425,23155571,0,2008,0
Davox,19870428,DAVX,239208101,11277,5015950,0,1981,0
Day Runner,19920311,DAYR,239545106,77401,4966119,0,1980,0
"Daystar Technologies, Inc.",20040205,DSTIU,23962Q100,90084,3549833,1,1997,0
Dayton Superior,20061220,DSUP,240028308,91663,18773283,0,1924,0
Dayton Superior Corp,19960619,DSD,240028100,83594,5609350,1,1924,0
DDi Corp,20000411,DDIC,233162106,88155,38957143,0,1978,0
Deckers Outdoor,19931014,DECK,243537107,79686,9359000,0,1973,0
deCode Genetics Inc,20000718,DCGN,243586104,88432,42990000,0,1996,0
Decoma International,19980220,DECAF,24359C100,85817,52961724,0,1957,0
Default Proof Credit Card Sys,19880804,DPRS,244626305,12156,7193510,0,1985,0
Defiance Precision Products,19851017,DEFI,24476000,87223,3000000,0,1905,0
Deflecta-Shield,19940121,TRUX,244764106,80161,4800000,0,1961,0
Del Monte Foods Company,19990204,DLM,24522P103,86590,52163944,0,1901,0
Delcath Systems Inc,20001019,,24661P104,89169,-9,0,1998,0
Delco Remy International Inc,19971217,RMY,246626105,85646,23806690,1,1911,0
Dell Computer,19880622,DELL,247025109,11081,14503093,0,1984,0
DELMED,19801223,DMES,24711410,64215,5678000,0,1974,0
Delta and Pine Land,19930629,COTN,247357106,79255,9600000,0,1915,0
Deltagen Inc,20000802,DGEN,24783R103,88515,28800000,0,1997,0
Deltek Inc,20071101,PROJ,24784L105,92446,43034042,0,1983,0
Demand Media Inc,20110125,DMD,24802N109,12521,81964617,0,2006,0
DemandTec Inc,20070808,DMAN,24802R506,92214,26188505,0,1999,0
Demandware Inc,20120314,DWRE,24802Y105,13292,28822970,0,2004,0
Denali Inc,19971120,DNLI,248221103,85542,4284910,0,1994,0
Dendreon Corp,20000616,DNDN,24823Q107,88335,20872000,0,1992,0
Dense-Pac Microsystems,19860122,DPAC,248719205,10012,3295560,0,1981,0
DEP CORPORATION,19831207,DEPC,23320210,28207,2523000,0,1956,0
DepoTech,19950928,DEPO,249673104,82258,10790105,0,1989,0
Depuy,19961030,DPU,249726100,84024,78201058,0,1968,0
Derma Sciences,19940513,DSCI,249827106,80524,4054233,0,1984,0
Dermira Inc,20141003,DERM,24983L104,15003,19353675,0,2010,0
Design Within Reach Inc,20040629,DWRI,250557105,90224,12844748,0,1998,0
Designs,19870602,DESI,25057L102,11379,5125000,0,1976,0
DEST,19850619,DEST,25063200,87266,7190758,0,1970,0
Destec Energy,19910314,ENG,25063N100,76593,19500000,0,1983,0
DETECTOR ELECTRONICS,19810602,DETX,25065710,29568,2066000,0,1973,0
Detroit Diesel,19931007,DDC,250837101,79751,22244842,0,1987,0
Deutsche Telekom,19961118,DT,251566105,84165,1641270000,0,1920,0
DeVlieg-Bullard,19900316,DVLG,251782108,76106,11650000,0,1986,0
Dex Media Inc,20040721,DEX,2.52E+104,90247,150281662,0,1904,0
Dexcom Inc,20050413,DXCM,252131107,90664,25186761,0,1999,0
DH TECHNOLOGY,19840503,DHTK,23290610,28151,5200000,0,1977,0
DIAGNON CORP,19830713,DIGN,25243910,29728,3375000,0,1981,0
DIAGNOSTIC PRODUCTS,19820608,DPCZ,25245010,29752,3583000,0,1971,0
DIAGNOSTIC/RETRIEVAL,19810122,DRSIA,25245610,65226,1480000,1,1968,0
Dial Page,19921105,DPGE,25247P100,78053,6712500,0,1983,0
Dialogic,19940411,DLGC,252499108,80442,13879856,0,1983,0
Diametrics Medical,19940614,DMED,252532106,79480,9309440,0,1990,0
Diamond Foods Inc,20050720,DMND,252603105,90807,14658351,0,1912,0
Diamond Multimedia Systems,19950412,DIMD,252714100,81550,26940913,0,1982,0
Diamond Offshore Drilling,19951011,DO,25271C102,82298,50000000,0,1989,0
Dianon Systems,19910731,DIAN,252826101,76755,4806911,0,1983,0
"DIASONICS, INC.",19830223,DNIC,25283610,29832,45166000,0,1977,0
Diasys,19950110,DIYS,252838107,81201,3010000,0,1992,0
Diatide,19960613,DITI,252842109,83649,10204082,0,1990,0
DICEON ELECTRONICS,19831130,DICN,25302610,29875,5495000,0,1980,0
Dicerna Pharmaceuticals,20140130,DRNA,253031108,14426,16627660,0,2006,0
DICKEY-JOHN,19760115,DKJC,25312010,29912,861244,0,1966,.
DIDAX Inc,19970924,AMEN,253624104,85354,3202588,0,1993,0
Digene,19960522,DIGE,253752109,83495,11278195,0,1985,0
Digi International,19891005,DGII,253798102,75831,3766680,0,1985,0
Digidesign,19931210,DGDN,253915102,79959,6990982,0,1983,0
Digimarc Corp,19991202,DMRC,253807101,87482,11983255,0,1995,0
Digirad Corp,20040609,DRAD,253827109,90223,17998646,0,1985,0
Digital Biometrics,19901207,DBII,253833107,76548,2905127,0,1985,0
DIGITAL COMMUNICATIONS,19830210,DCAI,25390210,30075,3878000,0,1972,0
Digital Impact Inc,19991122,DIGI,25385G106,87385,23548954,0,1997,0
Digital Island Inc,19990629,ISLD,25385N101,86978,33965736,0,1994,0
Digital Lightwave Inc,19970205,DIGL,253855100,84525,29836636,0,1990,0
Digital Link,19940131,DLNK,253856108,80235,8300468,0,1985,0
Digital Microwave,19870519,DMIC,253859102,11347,10753588,0,1984,0
Digital Optronics,19870806,DOCC,253909105,11580,2125000,0,1984,0
Digital Power,19961216,DPWR,253862106,84302,2363507,0,1969,0
Digital Recorders,19941108,TBUS,253869101,81109,2315362,0,1983,0
Digital River Inc,19980811,DRIV,25388B104,86322,16733975,0,1994,0
Digital Sound,19900227,DGSD,253911101,76080,16477351,0,1977,0
Digital Systems International,19900608,DGTL,253912109,76199,8324960,0,1980,0
Digital Theater Systems Inc,20030709,DTSI,25389G102,89793,13097000,0,1990,0
Digital Video Systems,19960509,DVID,25387R100,83496,20260492,0,1992,0
DigitalGlobe Inc,20090513,DGI,25389M877,92924,44871007,0,1995,0
Digitext,19860227,DIGT,253894109,10070,3630000,0,1983,0
DIMAC,19940803,DMC,253914303,80781,15252453,0,1921,0
Dimensional Visions Group,19881108,DVGL,25434F208,12157,7000000,0,1988,0
DIONEX CORP,19821207,DNEX,25454610,30147,4320000,0,1968,0
Dipexium Pharmaceuticals LLC,20140313,DPRX,25456J104,14538,8537877,0,2010,0
Directed Electronics,20051216,DEIX,25457510,91022,-9,0,1982,0
Discovery Zone,19930603,ZONE,25468B107,79314,17088523,0,1993,0
Discreet Logic,19950630,DSLGF,25467V104,81699,12288056,0,1991,0
